                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                0.72885,                0.86275,                0.10366,                0.57776,                0.87405,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     30,                0.71881,                0.77218,                0.10385,                0.56515,                0.87093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009076,               0.009076,               0.009076
                     31,                0.72011,                0.76999,                0.10223,                0.56743,                0.87292,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009043,               0.009043,               0.009043
                     32,                0.71866,                0.79553,                0.09824,                0.56969,                0.86752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     33,                0.71587,                0.77663,                0.10076,                0.56247,                0.86817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008977,               0.008977,               0.008977
                     34,                0.71521,                0.78297,                 0.0989,                0.55999,                0.87015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008944,               0.008944,               0.008944
                     35,                0.70971,                0.75285,                0.10035,                0.55885,                0.86852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     36,                0.70901,                0.73285,                0.09825,                0.55905,                0.86686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008878,               0.008878,               0.008878
                     37,                0.71316,                0.80614,                0.09848,                0.56096,                0.86905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008845,               0.008845,               0.008845
                     38,                0.70933,                0.76181,                0.09491,                 0.5586,                0.86878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     39,                0.70478,                0.74095,                0.09479,                0.55306,                0.86207,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008779,               0.008779,               0.008779
                     40,                0.69811,                 0.7182,                0.09242,                0.54943,                0.86241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008746,               0.008746,               0.008746
                     41,                0.70935,                 0.7603,                0.09546,                0.55856,                0.86535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
                     42,                0.71417,                0.73335,                0.09602,                0.55789,                0.86569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00868,                0.00868,                0.00868
                     43,                0.70601,                0.69666,                0.09507,                0.55531,                0.86451,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008647,               0.008647,               0.008647
                     44,                0.70375,                0.78743,                0.09328,                0.55699,                0.86611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     45,                0.69462,                0.66997,                0.09071,                0.54476,                0.86246,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008581,               0.008581,               0.008581
                     46,                0.70651,                0.74336,                 0.0926,                0.55479,                0.86605,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008548,               0.008548,               0.008548
                     47,                0.69507,                0.65942,                0.09238,                0.54217,                0.86296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008515,               0.008515,               0.008515
                     48,                0.69533,                0.70468,                0.09133,                0.54295,                0.86012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008482,               0.008482,               0.008482
                     49,                0.69449,                0.73313,                  0.089,                0.54398,                0.86095,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008449,               0.008449,               0.008449
                     50,                0.69669,                0.70574,                0.08896,                0.54771,                0.86301,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     51,                0.69698,                0.69486,                0.09143,                0.54883,                0.86407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008383,               0.008383,               0.008383
                     52,                0.69405,                0.71032,                0.08986,                0.54159,                0.86038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00835,                0.00835,                0.00835
                     53,                0.68891,                0.69255,                0.08721,                0.54155,                0.86009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008317,               0.008317,               0.008317
                     54,                0.69058,                0.68604,                0.09108,                0.54254,                0.86195,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008284,               0.008284,               0.008284
                     55,                0.68455,                 0.6612,                0.08768,                0.54002,                0.85898,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008251,               0.008251,               0.008251
                     56,                0.69102,                0.68266,                0.08619,                0.53782,                0.85731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     57,                 0.6885,                0.67054,                0.08638,                0.54047,                0.85861,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008185,               0.008185,               0.008185
                     58,                0.69753,                 0.7201,                0.08789,                0.54549,                0.86027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008152,               0.008152,               0.008152
                     59,                0.68891,                0.69184,                0.08841,                0.54042,                 0.8596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008119,               0.008119,               0.008119
